protocol,cell_id,seed,corruption,model,rmse,violation_rate,violation_count
same_cell,CS2_38,1024,missing_segments,lstm,0.2073401295267812,0.0,0
logo,CS2_33,42,gaussian,pinn,0.3891157066315613,0.0,0
logo,CS2_33,42,gaussian,lstm,0.2803177442383067,0.0,0
logo,CS2_34,42,gaussian,pinn,0.18685943831506446,0.0,0
logo,CS2_34,42,gaussian,lstm,0.17939801695893534,0.0,0
logo,CS2_35,42,gaussian,pinn,0.2349743181937951,0.0,0
logo,CS2_35,42,gaussian,lstm,0.1989994375063407,0.0,0
logo,CS2_36,42,gaussian,pinn,0.2559387834287561,0.0,0
logo,CS2_36,42,gaussian,lstm,0.24952607727256965,0.0,0
logo,CS2_37,42,gaussian,pinn,0.2435156602575676,0.0,0
logo,CS2_37,42,gaussian,lstm,0.21917035139152244,0.0,0
logo,CS2_38,42,gaussian,pinn,0.22281118403697844,0.0,0
logo,CS2_38,42,gaussian,lstm,0.20639814599283415,0.0,0
logo,CS2_33,123,gaussian,pinn,0.3399267569503388,0.0,0
logo,CS2_33,123,gaussian,lstm,0.2794804117442739,0.0,0
logo,CS2_34,123,gaussian,pinn,0.19002409388143965,0.0,0
logo,CS2_34,123,gaussian,lstm,0.17980748741107913,0.0,0
logo,CS2_35,123,gaussian,pinn,0.24589215306406836,0.0,0
logo,CS2_35,123,gaussian,lstm,0.19950751196733627,0.0,0
logo,CS2_36,123,gaussian,pinn,0.25912045113780596,0.0,0
logo,CS2_36,123,gaussian,lstm,0.25002816361479513,0.0,0
logo,CS2_37,123,gaussian,pinn,0.23713338440614307,0.0,0
logo,CS2_37,123,gaussian,lstm,0.2196634301018775,0.0,0
logo,CS2_38,123,gaussian,pinn,0.22131992988676402,0.0,0
logo,CS2_38,123,gaussian,lstm,0.20627348940745438,0.0,0
logo,CS2_33,456,gaussian,pinn,0.3650987283401113,0.0,0
logo,CS2_33,456,gaussian,lstm,0.2802207891805585,0.0,0
logo,CS2_34,456,gaussian,pinn,0.1874180375652242,0.0,0
logo,CS2_34,456,gaussian,lstm,0.18007251570878333,0.0,0
logo,CS2_35,456,gaussian,pinn,0.2337116143916315,0.0,0
logo,CS2_35,456,gaussian,lstm,0.19963653270314896,0.0,0
logo,CS2_36,456,gaussian,pinn,0.25791966125776283,0.0,0
logo,CS2_36,456,gaussian,lstm,0.25158807837206726,0.0,0
logo,CS2_37,456,gaussian,pinn,0.24136795545107895,0.0,0
logo,CS2_37,456,gaussian,lstm,0.22048369697418438,0.0,0
logo,CS2_38,456,gaussian,pinn,0.22850795762181142,0.0,0
logo,CS2_38,456,gaussian,lstm,0.20647672612968412,0.0,0
logo,CS2_33,789,gaussian,pinn,0.3124569963200339,0.0,0
logo,CS2_33,789,gaussian,lstm,0.2795001138661308,0.0,0
logo,CS2_34,789,gaussian,pinn,0.1872987384012433,0.0,0
logo,CS2_34,789,gaussian,lstm,0.17909763833393563,0.0,0
logo,CS2_35,789,gaussian,pinn,0.249451713718822,0.0,0
logo,CS2_35,789,gaussian,lstm,0.19877917587263913,0.0,0
logo,CS2_36,789,gaussian,pinn,0.2593309047649494,0.0,0
logo,CS2_36,789,gaussian,lstm,0.2500143282645599,0.0,0
logo,CS2_37,789,gaussian,pinn,0.26971965313624036,0.0,0
logo,CS2_37,789,gaussian,lstm,0.2195133772079268,0.0,0
logo,CS2_38,789,gaussian,pinn,0.23658278205938596,0.0,0
logo,CS2_38,789,gaussian,lstm,0.20643676378399892,0.0,0
logo,CS2_33,1024,gaussian,pinn,0.4221077567061018,0.0,0
logo,CS2_33,1024,gaussian,lstm,0.2798443317614319,0.0,0
logo,CS2_34,1024,gaussian,pinn,0.18831377457753998,0.0,0
logo,CS2_34,1024,gaussian,lstm,0.17985604374586286,0.0,0
logo,CS2_35,1024,gaussian,pinn,0.22692902700812406,0.0,0
logo,CS2_35,1024,gaussian,lstm,0.19919442156229494,0.0,0
logo,CS2_36,1024,gaussian,pinn,0.25855417256130586,0.0,0
logo,CS2_36,1024,gaussian,lstm,0.2502454954760542,0.0,0
logo,CS2_37,1024,gaussian,pinn,0.24074972277048254,0.0,0
logo,CS2_37,1024,gaussian,lstm,0.21923715346300848,0.0,0
logo,CS2_38,1024,gaussian,pinn,0.2177258384445458,0.0,0
logo,CS2_38,1024,gaussian,lstm,0.20725238807147314,0.0,0
logo,CS2_33,42,bias_drift,pinn,0.42531283651933205,0.0,0
logo,CS2_33,42,bias_drift,lstm,0.27842376495347054,0.0,0
logo,CS2_34,42,bias_drift,pinn,0.18761023701774876,0.0,0
logo,CS2_34,42,bias_drift,lstm,0.1786691620566325,0.0,0
logo,CS2_35,42,bias_drift,pinn,0.25763076417877356,0.0,0
logo,CS2_35,42,bias_drift,lstm,0.1990899554820426,0.0,0
logo,CS2_36,42,bias_drift,pinn,0.2587316498779097,0.0,0
logo,CS2_36,42,bias_drift,lstm,0.24935466122136896,0.0,0
logo,CS2_37,42,bias_drift,pinn,0.24140422511158383,0.0,0
logo,CS2_37,42,bias_drift,lstm,0.22037536733961455,0.0,0
logo,CS2_38,42,bias_drift,pinn,0.22187125652573367,0.0,0
logo,CS2_38,42,bias_drift,lstm,0.20678402370746501,0.0,0
logo,CS2_33,123,bias_drift,pinn,0.38201384703413166,0.0,0
logo,CS2_33,123,bias_drift,lstm,0.2794536594021302,0.0,0
logo,CS2_34,123,bias_drift,pinn,0.18600035224573783,0.0,0
logo,CS2_34,123,bias_drift,lstm,0.17868352365871726,0.0,0
logo,CS2_35,123,bias_drift,pinn,0.23773061739616602,0.0,0
logo,CS2_35,123,bias_drift,lstm,0.20018590794766356,0.0,0
logo,CS2_36,123,bias_drift,pinn,0.2636223856649943,0.0,0
logo,CS2_36,123,bias_drift,lstm,0.2501643694156759,0.0,0
logo,CS2_37,123,bias_drift,pinn,0.22728060831158656,0.0,0
logo,CS2_37,123,bias_drift,lstm,0.2199985669365012,0.0,0
logo,CS2_38,123,bias_drift,pinn,0.22157040009519402,0.0,0
logo,CS2_38,123,bias_drift,lstm,0.2068013641233371,0.0,0
logo,CS2_33,456,bias_drift,pinn,0.3434786187467578,0.0,0
